timestamp,cpu_used_percent,mem_used_mib,mem_total_mib,gpu_util_percent,gpu_mem_used_mib,gpu_mem_total_mib
1785650254.254682207,43.49,10723,63973,89,4013,11264
1785650256.283768812,46.91,10725,63973,99,4023,11264
1785650258.308844450,44.25,10726,63973,93,4003,11264
1785650260.332460187,42.66,10726,63973,100,4023,11264
1785650262.367435317,43.78,10726,63973,92,4013,11264
1785650264.392934899,43.54,10727,63973,99,4025,11264
1785650266.417793360,44.08,10720,63973,97,4005,11264
1785650268.448336649,45.25,10726,63973,99,4015,11264
1785650270.474502227,41.92,10730,63973,99,4035,11264
1785650272.499123051,41.87,10729,63973,96,4015,11264
1785650274.527594044,41.78,10729,63973,100,4015,11264
1785650276.551905976,42.56,10732,63973,99,4005,11264
1785650278.579967070,47.19,10732,63973,99,4035,11264
1785650280.604952054,42.71,10732,63973,99,4015,11264
1785650282.629328486,36.97,10739,63973,96,4015,11264
1785650284.657272917,42.53,10746,63973,98,4015,11264
1785650286.684420664,39.58,10745,63973,95,4021,11264
1785650288.710579398,44.57,10745,63973,99,4025,11264
1785650290.740412585,44.97,10626,63973,100,4015,11264
1785650292.770166603,42.32,10627,63973,95,4025,11264
1785650294.797683663,42.87,10622,63973,93,4015,11264
1785650296.826573624,55.06,10723,63973,97,4029,11264
1785650298.851563405,44.68,10732,63973,99,4029,11264
1785650300.878656361,44.55,10733,63973,99,4029,11264
1785650302.902811086,44.02,10735,63973,99,4029,11264
1785650304.930027575,41.84,10737,63973,99,4019,11264
1785650306.954406288,43.76,10737,63973,97,4049,11264
1785650308.998276110,46.36,10738,63973,99,4029,11264
1785650311.029396146,41.27,10733,63973,99,4019,11264
1785650313.052994369,42.52,10736,63973,95,4039,11264
1785650315.078565369,43.39,10743,63973,99,4029,11264
1785650317.105018925,42.53,10737,63973,99,4019,11264
1785650319.137493535,42.02,10746,63973,99,4019,11264
1785650321.162002566,43.36,10753,63973,99,3991,11264
1785650323.187604415,44.96,10750,63973,96,4049,11264
1785650325.216924548,43.95,10723,63973,98,4025,11264
1785650327.247412420,42.57,10724,63973,99,4029,11264
1785650329.276102892,42.33,10723,63973,99,4019,11264
1785650331.303196533,41.63,10720,63973,99,4019,11264
1785650333.330695847,47.36,10601,63973,99,4019,11264
1785650335.359738787,44.21,10600,63973,99,4015,11264
1785650337.384242913,44.91,10601,63973,100,4015,11264
1785650339.411981989,43.29,10601,63973,93,3995,11264
1785650341.442434967,43.23,10600,63973,99,4021,11264
1785650343.470593844,44.50,10600,63973,99,3991,11264
1785650345.494778218,45.26,10604,63973,99,4035,11264
1785650347.525214255,43.14,10604,63973,93,4015,11264
1785650349.553364444,49.63,10720,63973,98,4019,11264
1785650351.583303369,46.68,10735,63973,90,4019,11264
1785650353.615533072,42.60,10732,63973,99,4039,11264
1785650355.643765371,44.48,10739,63973,99,4019,11264
1785650357.675101887,43.06,10742,63973,99,4019,11264
1785650359.703407341,43.69,10744,63973,99,4019,11264
1785650361.728790742,43.31,10748,63973,99,4019,11264
1785650363.756686877,44.70,10744,63973,99,4029,11264
1785650365.789189894,47.85,10745,63973,99,4029,11264
1785650367.819556353,41.36,10744,63973,99,4039,11264
1785650369.849700655,45.04,10744,63973,99,4019,11264
1785650371.878403567,43.76,10739,63973,99,4029,11264
1785650373.902321907,45.08,10743,63973,93,4029,11264
1785650375.929542396,43.28,10744,63973,99,4019,11264
1785650377.963924364,44.47,10752,63973,99,4029,11264
1785650379.989671687,43.52,10728,63973,99,4039,11264
1785650382.018337602,45.01,10734,63973,94,4009,11264
1785650384.042668697,42.04,10735,63973,96,4039,11264
1785650386.078603987,45.04,10735,63973,85,4009,11264
1785650388.105345490,42.64,10734,63973,99,4029,11264
1785650390.132470121,44.63,10731,63973,100,4010,11264
1785650392.158000082,41.31,10717,63973,99,4010,11264
1785650394.182841861,43.69,10615,63973,99,4010,11264
1785650396.211088353,45.17,10619,63973,99,4010,11264
1785650398.240153001,41.10,10618,63973,93,4010,11264
1785650400.267081377,47.83,10618,63973,99,4030,11264
1785650402.298699359,43.72,10612,63973,97,4000,11264
1785650404.327780740,41.60,10610,63973,99,4020,11264
1785650406.353847881,41.60,10613,63973,99,4010,11264
1785650408.380784802,42.41,10613,63973,100,4010,11264
1785650410.408665505,45.33,10613,63973,99,4030,11264
1785650412.433507710,41.86,10615,63973,100,4010,11264
1785650414.467578119,41.33,10615,63973,100,4020,11264
1785650416.491619169,50.57,10731,63973,96,4010,11264
1785650418.518577619,46.48,10733,63973,95,4020,11264
1785650420.543760890,40.39,10744,63973,99,4020,11264
1785650422.570591741,44.62,10746,63973,99,4020,11264
1785650424.597937806,44.24,10740,63973,98,4030,11264
1785650426.631783159,43.10,10745,63973,99,4026,11264
1785650428.668696247,39.23,10740,63973,99,4020,11264
1785650430.696604666,40.05,10740,63973,100,4020,11264
1785650432.724522916,43.59,10740,63973,95,4000,11264
1785650434.750975823,39.60,10741,63973,99,4000,11264
1785650436.778002096,44.09,10740,63973,99,4010,11264
1785650438.802548250,40.82,10754,63973,99,4000,11264
1785650440.831221445,41.32,10752,63973,99,4010,11264
1785650442.858051484,41.73,10753,63973,99,4010,11264
1785650444.903527425,43.08,10749,63973,98,4010,11264
1785650446.936783909,42.62,10734,63973,99,4020,11264
1785650448.965879633,39.85,10728,63973,100,4010,11264
1785650450.991531351,41.25,10663,63973,99,4030,11264
1785650453.018659661,39.29,10664,63973,99,4010,11264
1785650455.047106354,40.50,10554,63973,99,4020,11264
1785650457.076967658,42.50,10551,63973,99,4000,11264
1785650459.105842673,40.87,10554,63973,96,4000,11264
1785650461.133993316,51.55,10710,63973,99,4010,11264
1785650463.157335121,44.04,10701,63973,96,3999,11264
1785650465.181907016,42.66,10703,63973,99,4044,11264
1785650467.205762401,40.62,10707,63973,99,4034,11264
1785650469.237450955,40.24,10704,63973,99,4034,11264
1785650471.266859182,40.31,10696,63973,99,4030,11264
1785650473.292413325,42.71,10399,63973,96,3953,11264
1785650475.323570413,40.50,10412,63973,99,3943,11264
1785650477.347973631,41.35,10415,63973,97,3943,11264
1785650479.372675695,41.50,10389,63973,99,3941,11264
1785650481.396570573,44.47,10390,63973,99,3950,11264
1785650483.424216443,42.47,10388,63973,80,3939,11264
